DATE,GDP  USD (billion)
01-01-1947,243.164
01-04-1947,245.968
01-07-1947,249.585
01-10-1947,259.745
01-01-1948,265.742
01-04-1948,272.567
01-07-1948,279.196
01-10-1948,280.366
01-01-1949,275.034
01-04-1949,271.351
01-07-1949,272.889
01-10-1949,270.627
01-01-1950,280.828
01-04-1950,290.383
01-07-1950,308.153
01-10-1950,319.945
01-01-1951,336
01-04-1951,344.09
01-07-1951,351.385
01-10-1951,356.178
01-01-1952,359.82
01-04-1952,361.03
01-07-1952,367.701
01-10-1952,380.812
01-01-1953,387.98
01-04-1953,391.749
01-07-1953,391.171
01-10-1953,385.97
01-01-1954,385.345
01-04-1954,386.121
01-07-1954,390.996
01-10-1954,399.734
01-01-1955,413.073
01-04-1955,421.532
01-07-1955,430.221
01-10-1955,437.092
01-01-1956,439.746
01-04-1956,446.01
01-07-1956,451.191
01-10-1956,460.463
01-01-1957,469.779
01-04-1957,472.025
01-07-1957,479.49
01-10-1957,474.864
01-01-1958,467.54
01-04-1958,471.978
01-07-1958,485.841
01-10-1958,499.555
01-01-1959,510.33
01-04-1959,522.653
01-07-1959,525.034
01-10-1959,528.6
01-01-1960,542.648
01-04-1960,541.08
01-07-1960,545.604
01-10-1960,540.197
01-01-1961,545.018
01-04-1961,555.545
01-07-1961,567.664
01-10-1961,580.612
01-01-1962,594.013
01-04-1962,600.366
01-07-1962,609.027
01-10-1962,612.28
01-01-1963,621.672
01-04-1963,629.752
01-07-1963,644.444
01-10-1963,653.938
01-01-1964,669.822
01-04-1964,678.674
01-07-1964,692.031
01-10-1964,697.319
01-01-1965,717.79
01-04-1965,730.191
01-07-1965,749.323
01-10-1965,771.857
01-01-1966,795.734
01-04-1966,804.981
01-07-1966,819.638
01-10-1966,833.302
01-01-1967,844.17
01-04-1967,848.983
01-07-1967,865.233
01-10-1967,881.439
01-01-1968,909.387
01-04-1968,934.344
01-07-1968,950.825
01-10-1968,968.03
01-01-1969,993.337
01-04-1969,1009.02
01-07-1969,1029.956
01-10-1969,1038.147
01-01-1970,1051.2
01-04-1970,1067.375
01-07-1970,1086.059
01-10-1970,1088.608
01-01-1971,1135.156
01-04-1971,1156.271
01-07-1971,1177.675
01-10-1971,1190.297
01-01-1972,1230.609
01-04-1972,1266.369
01-07-1972,1290.566
01-10-1972,1328.904
01-01-1973,1377.49
01-04-1973,1413.887
01-07-1973,1433.838
01-10-1973,1476.289
01-01-1974,1491.209
01-04-1974,1530.056
01-07-1974,1560.026
01-10-1974,1599.679
01-01-1975,1616.116
01-04-1975,1651.853
01-07-1975,1709.82
01-10-1975,1761.831
01-01-1976,1820.487
01-04-1976,1852.332
01-07-1976,1886.558
01-10-1976,1934.273
01-01-1977,1988.648
01-04-1977,2055.909
01-07-1977,2118.473
01-10-1977,2164.27
01-01-1978,2202.76
01-04-1978,2331.633
01-07-1978,2395.053
01-10-1978,2476.949
01-01-1979,2526.61
01-04-1979,2591.247
01-07-1979,2667.565
01-10-1979,2723.883
01-01-1980,2789.842
01-04-1980,2797.352
01-07-1980,2856.483
01-10-1980,2985.557
01-01-1981,3124.206
01-04-1981,3162.532
01-07-1981,3260.609
01-10-1981,3280.818
01-01-1982,3274.302
01-04-1982,3331.972
01-07-1982,3366.322
01-10-1982,3402.561
01-01-1983,3473.413
01-04-1983,3578.848
01-07-1983,3689.179
01-10-1983,3794.706
01-01-1984,3908.054
01-04-1984,4009.601
01-07-1984,4084.25
01-10-1984,4148.551
01-01-1985,4230.168
01-04-1985,4294.887
01-07-1985,4386.773
01-10-1985,4444.094
01-01-1986,4507.894
01-04-1986,4545.34
01-07-1986,4607.669
01-10-1986,4657.627
01-01-1987,4722.156
01-04-1987,4806.16
01-07-1987,4884.555
01-10-1987,5007.994
01-01-1988,5073.372
01-04-1988,5190.036
01-07-1988,5282.835
01-10-1988,5399.509
01-01-1989,5511.253
01-04-1989,5612.463
01-07-1989,5695.365
01-10-1989,5747.237
01-01-1990,5872.701
01-04-1990,5960.028
01-07-1990,6015.116
01-10-1990,6004.733
01-01-1991,6035.178
01-04-1991,6126.862
01-07-1991,6205.937
01-10-1991,6264.54
01-01-1992,6363.102
01-04-1992,6470.763
01-07-1992,6566.641
01-10-1992,6680.803
01-01-1993,6729.459
01-04-1993,6808.939
01-07-1993,6882.098
01-10-1993,7013.738
01-01-1994,7115.652
01-04-1994,7246.931
01-07-1994,7331.075
01-10-1994,7455.288
01-01-1995,7522.289
01-04-1995,7580.997
01-07-1995,7683.125
01-10-1995,7772.586
01-01-1996,7868.468
01-04-1996,8032.84
01-07-1996,8131.408
01-10-1996,8259.771
01-01-1997,8362.655
01-04-1997,8518.825
01-07-1997,8662.823
01-10-1997,8765.907
01-01-1998,8866.48
01-04-1998,8969.699
01-07-1998,9121.097
01-10-1998,9293.991
01-01-1999,9417.264
01-04-1999,9524.152
01-07-1999,9681.856
01-10-1999,9899.378
01-01-2000,10002.857
01-04-2000,10247.679
01-07-2000,10319.825
01-10-2000,10439.025
01-01-2001,10472.879
01-04-2001,10597.822
01-07-2001,10596.294
01-10-2001,10660.294
01-01-2002,10788.952
01-04-2002,10893.207
01-07-2002,10992.051
01-10-2002,11071.463
01-01-2003,11183.507
01-04-2003,11312.875
01-07-2003,11567.326
01-10-2003,11769.275
01-01-2004,11920.169
01-04-2004,12108.987
01-07-2004,12303.34
01-10-2004,12522.425
01-01-2005,12761.337
01-04-2005,12910.022
01-07-2005,13142.873
01-10-2005,13332.316
01-01-2006,13603.933
01-04-2006,13749.806
01-07-2006,13867.469
01-10-2006,14037.228
01-01-2007,14208.569
01-04-2007,14382.363
01-07-2007,14535.003
01-10-2007,14681.501
01-01-2008,14651.039
01-04-2008,14805.611
01-07-2008,14835.187
01-10-2008,14559.543
01-01-2009,14394.547
01-04-2009,14352.85
01-07-2009,14420.312
01-10-2009,14628.021
01-01-2010,14721.35
